,QueryText,KCCAns
3901,REDDENING ON COTTON ? ????????? ??????,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE.
3902,FLOWER DROP on cotton ?,SPRAY PLANOFIX 3 ML(Bayer)/15 LITER WATER.
3908,SEED TREATMENT FOR BENGAL GRAM?,SEEDS ARE TREATED WITH 2-2.5 GM THIRUM /1 KG OF SEEDS THEN RHIZOBIUM 25 GM+ PSB 25 GM + 100 GM JAGERY / 1 KG OF SEEDS
3913,ASKED ABOUT ATTACK OF LEAF EATING CATERPILLAR ON PIGEON PEA ?,Spray Takumi 5 GM /15 liter water (Flubendamide 20%WGD)-Tata Rallis India
3917,ASKING ABOUT REDDNING OF COTTON ?,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE .
3923,FARMER ASKED ABOUT FLOWERS DROP IN COTTON ?,FLOWERS DROP IN COTTON-SPRAY CALSIBOR 30 GM /15 LITERS OF WATER
3931,ASKED ABOUT ATTACK OF SHOOT BORER IN PIEGON PEA ?,Spray Avant 10 ml/15 Lit of Water.(Indoxacarb 15.8% EC) Dupont India
3932,Asking about weather forecast?,This week weather is CLOUDY and  Possibility of LIGHT  Rainfall.
3934,Asking about weather forecast?,This week weather is CLOUDY and  Possibility of  LIGHT Rainfall.
3938,Asking about weather forecast?,"Today Partly cloudy, No Possibility of Rain"
3944,asked about whie fly and thrips attack ?,Spray Regent 20 ml + bavistin 30 gm  /15 liter water(Fipronil 5 SC)-.BAYER CROP SCIENCE
3947,ATTACK OF SUCKING PEST on cotton?,SUCKING PEST on cotton-Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta
3951,FUNGAL ATTACK ON COTTON ?,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL
3956,ASKED ABOUT FERTILISER DOSE OF ONION ?,"SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
DAP 1 BAG , UREA 25KG"
3961,asked about blight on pomegranate ?,
3962,Asking about weather forecast?,This week weather is CLOUDY and Possibility  MEDIUM to HIGH Rainfall.
3963,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY  POSSIBILITY OF RAINFALL.
3964,Asking about weather forecast ?,This week weather is CLOUDY and  no Possibility  of Rainfall.
3968,Attack of Thrips on cotton  ?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
3970,"Farmer Asking about weather forecast in Sangrampur, Buldhana ?","Weather forecast in  Sangrampur, Buldhana    This week partially weather is CLOUDY and Possibility of LIGHT Rainfall.Today,s temperature -21 - 36  degree celsius, wind speed - 6  Kilometer 
 /hr"
3971,REDDNING OF COTTON ?,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
3975,Asked about attack of wilt on cotton crop?,Attack of wilt on cotton crop-Drenching of bavistin 30gm/15 liter water.
3976,asked about sowing period of gram ?,sowing time for gram is 15september-15 october
3978,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND LIGHT RAINFALL CHANCES
3986,WILT ATTACK TUR  ?,Spray Blue copper -30 gm + microla 30 ml/15 lit water.(COPPER OXYCHLORIDE 50% WP).
3987,ASKING ABOUT FLOWER DROP IN COTTON ?,TO STOP  FLOWER DROP IN COTTON SPRAY PLANOFIX  5  ML  /15 LITER WATER (Alpha napthyl acetic acid)
3988,ATTACK OF SUCKING PEST ?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)
3989,WILT ATTACK ON PIGEON PEA ?,DRENCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER .
3992,"Farmer Asking about weather forecast in  Khamgaon, Buldhana?","Weather forecast in  Khamgaon, Buldhana This week partially weather is CLOUDY and Possibility of LIGHT Rainfall.Today,s temperature - 22 - 35 degree celsius, wind speed -6 Kilometer/hr"
3993,Attack of Fruit Borer cabbage ?,Spray Triazhophos 30 ml/15 liter water
3997,Asking about weather forecast ?,THIS WEEK Weather is CLOUDY and LIGHT Possibility of Rainfall .
3998,MARKET RATE OF SOYBEAN ?,MARKET RATE OF SOYBEAN =2300-3000 RS/QTL
4001,Asking about weather forecast ?,This week weather is mostly cloudy and  Possibility of Rainfall
4007,ATTACK OF LEAF EATING CATERPILLAR TUR  ?,Spray Triazhophos 30 ml/15 liter water
4012,asking about  white grub ?,Use Thimate 4 kg / acre.
4017,ATTACK OF NEMATODE ON SANTRA ?,BASILO MYSIS 1 LITRE / ACRE THROUGH DRIP .
4023,ASKED ABOUT CONTROL OF WHITE GRUB ON TUR ?,Drenching of Chloropyriphos 40 ml / 15 lit of water.
4030,ASKED ABOUT FERTILIZER SPRAY ON TURMERIC ?,"FERTILIZER SPRAY ON TURMERIC -
SPRAY 19 19 19 60 GM + MICROLLA 30 ML + BAVISTINE-30GM /15 LITERS OF WATER."
4042,ATTACK OF SUCKING PEST ON COTTON ?,Spray Actra 5 gm /15 Liter of Water(Thiomithoxom 25%).
4044,Asking about weather forecast?,THIS WEEK WEATHER IS MOSTLY CLOUDY TEMP -MIN.-23 DEGREE AND MAX.- 34 LIGHT  RAINFALL CHANCES.
4051,sugancane information ?,"Crop name - Sugarcane (Continued - 15th December - 15th February), (East-15th Oct-15Novnbeer) (Odali-15th July-15th August)
Seed ratio (Key / O) One eye-5000, two eyes-10,000-12,000
Planting difference (Feet) -4 * 1, 4 * 0.5. Strapped to 2.5 * 5 or 3 * 6
Hectare production (q / ha) - 100-150
Duration of the crop (months) -Suur 14, East 16, Rotis 17-18
Improved cast-offs: to 86032 (NEERA), COm 0265, CO-VSI 80 80 (Sharad-1), start and east: 8074 (Mahalaxmi) Kosi 671 Vasant-1) Co9 4012 (Phulasvatri), KO-VSI 03102,"
4053,.Asking about weather forecast ?,coming three days weather is CLOUDY and today LIGHT Possibility of Rainfall
4067,Asking about weather forecast ?,This week weather is CLOUDY and  Possibility of Rainfall .
4071,ICICI Lombard General Insurance Company Limited,ICICI Lombard General Insurance Company Limited .ll free number 18002666
4075,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY WITH CHANCES OF LIGHT RAINFALL .
4076,Asking About Market Rate of?,Market Rate of - rupees 2800	2960	2900/qtl
4085,ASKING ABOUT SPRAY FOR FLOWERING ?,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE
4089,asking about attack of pink bollworm on cotton?,spraying of larvin 30gm/15 litre of water.
4091,ASKED ABOUT MARKET RATE OF SOYBEAN  ?,MARKET RATE OF SOYBEAN-2900	3100	3000 RS/QUINTAL
4095,Asked About SMS Activation?,Your SMS Registration  process successfully completed.
4097,FERTILIZER SPRAY FOR GROWTH ?,SPRAY 12 61 00 40 60 GM + vipul  30 ML /15 LITERS OF WATER
4098,ASKED ABOUT VARIETIES OF SAFFLOWER?,"VARIETIES OF SAFFLOWER= BHIMA,NRS-209 ( Nira)"
4100,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND POSSIBILITY OF LIGHT RAINFALL CHANCES DURING THIS WEEK
4103,Asking about weather forecast?,This week weather is Partly cloudy and Possibility of Rainfall.
4105,asked about weather forecast?,This week weather is CLOUDY and   NO Possibility of Rainfall
4107,Asking about weather forecast?,THIS WEEK Weather is CLOUDY and LIGHT Possibility of Rainfall.
4109,ATTACK OF SUCKING PEST ? ?? ???? ???? ????????,SPRAY KARATE 15 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA
4111,ASKING ABOUT CONTROL FOR SUCKING PEST?,SPRAY KARATE 15 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA
4112,Asking About Market Rate of Soybean ?,Market Rate of  Soybean -2900	3100	3000  rupees/qtl
4123,REDDNING OF COTTON ?,REDDNING OF COTTON -SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
4127,ASKED ABOUT MARKET RATE OF BLACK GRAM  ?,MARKET RATE OF BLACK GRAM = DEULGAON RAJA 3301 - 3901  RS/QUINTAL
4132,asking about FOR FLOWERING on red gram ?,FOR FLOWERING on red gram - Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE
4134,ASKED ABOUT VARIETIES OF BENGAL GRAM ?,"VARIETIES OF BENGAL GRAM - VIJAY ,DIGVIJAY, VISHAL, VIKAS, JAKI-9218, PHULE G-12 
VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349"
4137,ATTACK OF PINK BOLLWORM ON COTTON ?,Spray Profex 30 ml/15 liter water.( Profenofos 40%) Nagarjuna
4138,ASKED ABOUT ATTACK OF WHITE FLIES ON COTTON ?,ATTACK OF WHITE FLIES ON COTTON :SPRAY  VERTISELIUM LEKANI 5 GRAM IN 15 LITER WATER
4139,Asking about weather forecast ?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-21 DEGREE AND MAX.- 34 NO   RAINFALL CHANCES .
4141,Asking about weather forecast ?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-21 DEGREE AND MAX.- 34 NO RAINFALL CHANCES .
4148,ASKED ABOUT FLOWER DROP ON COTTON ?,SPRAY PLANO FIX 4 ML(Bayer) /15 LITER WATER
4153,FERTILIZER SPRAY on cotton ?,SPRAY POTASSIUM NITRATE 13 00 45 60 GM /15 LITERS OF WATER
4161,Asking about weather forecast ?,This week partially weather is CLOUDY and Possibility of LIGHT Rainfall
4172,ASKED ABOUT MARKET RATE OF COTTON ?,MARKET RATE OF COTTON  - 5100 RS/QUINTAL
4173,Assistant Commissioner Fisheries,Assistant Commissioner Fisheries Buldhana 07262-242254
4174,ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT?,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 3268
4178,ATTACK OF PINK BOLLWORM ON COTTON ?,Spray Tracer 5 ml / 15 lit of water -(Spinosad 45 SC ) Dow Agro Science
4180,Attack of White Fly on cotton ?,Spray Ullala 8 gm/15 Lit of Water. UPL
4187,FARMER ASKED ABOUT SPRAY FOR GROWTH OF PIGEON PEA?,SPRAY FOR GROWTH OF PIGEON PEA:- 19 : 19 :19 60 KG / 15 LITER WATER
4189,Asking about weather forecast  ?,This week partially weather is CLOUDY and Possibility of LIGHT Rainfall
4191,"ASKING ABOUT ATTACK OF THRIPS , APHIDS cotton?",Spray super confidor 04 ml /15 liter of water(Imida 17.8 sl)-Bayer
4193,ASKED ABOUT ATTACK OF  BLIGHT OF COTTON ?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
4197,Asking about weather forecast?,This week weather is partly cloudy and no Possibility of Rainfall.
4198,ASKING ABOUT CONTROLL OF WILT ATTACK  ?,DRENCHING Blue copper -30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)  SYNGENTA
4203,FARMER ASKED ABOUT INCREASE FLOWERS IN PEGION PEA?,ABOUT INCREASE FLOWERS IN PEGION PEA SPRAY TATA BAHAAR-30 MILI + 12:61:00-60 GRAM / 15 LITRE OF WATER.
4204,ASKED ABOUT MARKET RATE OF SOYBEAN ?,MARKET RATE OF SOYBEAN = RISOD	2785 - 3060 RS/QUINTAL...
4207,Asking about weather forecast ?,This week weather is partly cloudy and no Possibility of Rainfall.
4224,Attack of White Fly?,Spray Ullala 8 gm/15 Lit of Water (flonicamid)-UPL
4227,asked about pomegranate problem ?,spray miracle 1.5 ml 15 litre of water pump
4234,Asking about weather forecast ?,This week weather is CLOUDY and Possibility  LIGHT Rainfall.
4243,Asking about weather forecast ?,"Weather Forecast - In the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain.
Precip chance: 42% , Humidity: 63%"
4244,Asking about weather forecast?,This week weather is partly cloudy and  light Possibility of Rainfall.
4246,asked about weather forecast?,this week weather is cloudy and light possibility of rainfall
4249,Asking about weather forecast ?,Cloudy Weather  Rainfall Chances Today.
4260,Asking about weather forecast?,This week weather is CLOUDY and NO Possibility of Rainfall.
4265,asked about planting material of banana,"Krishi Vigyan Kendra

Jalgoan Jamod. Dist : BULDANA { MS }

Phone No. & TeleFax : 07266 - 221620"
4270,ASKED ABOUT CULTIVATION OF GROUNDNUT?,"?????? ???-?????? (???,???????,?????????,????????)
?????? ?????? (??./??.)???-???
???????? ???? (??.????)-??*?? ???? ??*?? ???? ??*??
?????-??-??% ????? ???? ????????
??????? ??????? (???????/??.)????-??-??,???????-??-??,???-??-??
??????? ????-?????-??,??????,???? ??,????-??,??.?? ??"
4271,Asking about weather forecast?,This week weather is CLOUDY and   NO Possibility of Rainfall . TEMP -MIN.-21 DEGREE AND MAX.- 34
4273,VARIETIES OF GROUNDNUT ?,VARIETIES OF GROUNDNUT -SB-11 TAG-24 TPG-41 TG-26 PHULE -285
4275,Asking about weather forecast?,TODAY weather is CLOUDY and   NO Possibility of Rainfall
4277,ASKING ABOUT MARKETRATE OF COTTON ?,MARKETRATE OF COTTON -5100/QINTOL
4278,ASKING ABOUT WEATHER FORECAST ?,Cloudy Weather  Rainfall Chances this week .
4279,ASKING ABOUT MARKET RATE of soyabean buldhana market ?,MARKET RATE OF soyabean buldhana - 2900 RUPEES/QTL
4282,Asking about weather forecast?,This week weather is Partly cloudy and Possibility of light and medium  Rainfall.
4283,asked about contact number of fertlilizer control laboratory?,"FERTILIZER CONTROL LABORATORY, AMRAVATI
 Tapovan Road, Amravati, Maharashtra, India, 444602 0721-2662764"
4289,Attack of White Fly on cotton ?,Spray Ullala 8 gm/15 Lit of Water.UPL
4299,asked about seed treatment on bengal gram ?,"SEED TREATMENT FOR BENGAL GRAM ?

SEEDS ARE TREATED WITH 2-2.5 GM THIRUM /1 KG OF SEEDS THEN RHIZOBIUM 25 GM+ PSB 25 GM + 100 GM JAGERY / 1 KG OF SEEDS"
4303,Attack of White Fly ON COTTON?,White Fly ON COTTON-Spray Ullala 8 gm+m-45 30 gm /15 Lit of Water.UPL
4304,"Asking about weather forecast Jalgaon Jamod, Buldhana ?","Jalgaon Jamod, Buldhana - THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-22 DEGREE AND MAX.- 34.
 NO RAINFALL CHANCES ."
4308,ASKED ABOUT ATTACK OF SUCKING PEST ON TOMATO ?,Spray Regent 20 ml/15 liter water(Fipronil 5 SC)-.BAYER CROP SCIENCE
4309,ASKED ABOUT ATTACK OF PINK BOLLWORM ON COTTON ?,SPRAY- LARVIN- 30 GRAM / 15 LITER WATER
4310,ASKED ABOUT ATTACK OF STEM BORER ON MAIZE ?,SPRAY ACTRA 5 GM + CHLOROPYRIPHOS 30 MILI / 15 LITER OF WATER
4311,ASKED ABOUT VARIETIES OF WHEAT ?,VARIETIES OF WHEAT- NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349
4312,ASKING ABOUT SUCKING PEST ON COTTON CROP?,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN
4313,ASKING ABOUT SPRAY FOR FLOWERING ?,Spray boom flower 20 ml (nitrobenzene 20%)/15 lit of water-DEVICROP AGRO SCI.COMP.
4317,wilting in cotton ?,DRAINCHING OF BLUE COPPER 40 GM + HUMIC ACID 30 ML/15 LITER WATER
4318,Asking about weather forecast ?,THIS WEEK WEATHER IS CLEAR  NO RAINFALL CHANCES.
4319,Asking about weather forecast ?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-22 DEGREE AND MAX.- 34.NO RAINFALL CHANCES
4326,ASKED ABOUT TIME OF SOWING OF GRAM ?,"SOWING TIME OF GRAM- 15 SEP - 20 OCT , DISEMBER"
4327,Asking about weather forecast?,This week weather is CLEAR and NO Possibility of Rainfall
4328,Asking about weather  forecast ?,This week weather is CLOUDY and Possibility  light to medium Rainfall
4340,Asking About Market Rate of SOYBEAN ?,Market Rate of SOYBEAN - 3000- 3100 rupees/qtl
4341,ASKED ABOUT MARKET RATE OF BLACKGRAM?,MARKET RATE OF BLACKGRAM- 3500-4250RS/QUINTAL
4345,farmer asked about application for information related to crops ?,application for information related to crops = kisan suvidha app.
4359,Seeds and seed processing,"Seeds and seed processing
For more wheat production, there should be 20 to 22 lakh hectares of trees in the field. For this, 1oo kg of seeds per hectare should be used for sowing time.
Due to low temperature for late sowing, due to low wheat foliage the seed should be kept in the ratio of 125 to 150 kg per hectare. Seed treatment should be used for seeding of 75-100 kg per hectare.
Before sowing, seeds should be processed in the quantity of Captain or Thayaram fungicide with 3 gm per kg seed. Similarly, seeds of seed processing should be done for seeds of Azotobacter and phosphorous dissolving bacterial culture of 250 grams per 10 kg seed. This will increase the product by 10 to 15 percent."
4365,FARMER ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF -3050 RS/QTL
4370,Asking about weather forecast?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-21 DEGREE AND MAX.- 36
4379,FARMER ASKED ABOUT MARKET RATE OF COTTON ?,MARKET RATE OF COTTON - 4950RS/QTL
4382,ASKED ABOUT MARKET RATE OF soybean?,MARKET RATE OF soybean-2600-3075 RS/QUINTAL.
4386,Asking about weather forecast ?,This week weather is mostly clear AND LIGHT CLOUDY and NO Possibility of Rainfall
4395,Farmer Asked About Govt. Schemes?,Visit to TAO to getting detail information about Govt. Schemes.
4408,ASKED ABOUT MARKET RATE OF SOYABEAN  ?,MARKET RATE OF SOYABEAN   -3000  RS/QUINTAL
4412,ASKING ABOUT ATTACK OF WHITE FLY on cotton ?,ATTACK OF WHITE FLY on cotton -  Spray Pride 07 gm /15 liter of water(Acetamapride 20SP)Super crop safe limited
4413,Asking about weather forecast ?,WEEKLY WEATHER REPORT=THIS WEEK WEATHER IS CLOUDY POSSIBILITY OF  LIGHT AND MEDIUM RAINFALL .
4416,ASKED ABOUT FERTILIER APPLICATION FOR GINGER?,19 19 19 60GM+ MICROLLA 30 ML +SAF POWDWER 60GM
4425,ASKED ABOUT MARKET RATE OF BENGAL GRAM ?,"MARKET RATE OF BENGAL GRAM -MINIMUM-3500,MAXIMUM-4150,AVERAGE- 3850 RS/QUINTAL"
4427,ASKED ABOUT FERTILIZER SPRAY FOR GROWTH OF CARROT ?,FERTILIZER SPRAY FOR GROWTH OF CARROT=SPRAY 00 52 34 60 GM + MICROLLA 30 ML /15 LITERS OF WATER
4432,ASKED ABOUT FERTILIZER DOSE FOR BENGAL GRAM ?,FERTILIZER DOSE FOR BENGAL GRAM - APPLY 20:20:00:13 - 75 KILO + MICRONUTRIENTS - 10 KILO / ACRE.
4434,ASKING ABOUT SEED TREATMENT OF BENGAL-GRAM?,SEEDS ARE TREATED WITH 2-2.5 GM THIRUM /1 KG OF SEEDS THEN RHIZOBIUM 25 GM+ PSB 25 GM + 100 GM JAGERY / 1 KG OF SEEDS
4440,Asking about weather forecast ?,Weather forecast - Environmental partially cloudy and not likely to rain - Temperature is 20 degrees Celsius and maximum 36 degree Celsius
4453,Asking about weather forecast?,COMING THREE DAYS  weather is partly cloudy and Possibility of NO Rainfall.
4454,ATTACK OF LEAF EATING CATERPILLAR ?,Spray Coragen 5ml/15 Lit of Water.( chlorantraniliprole 18.5% SC) Dupont India
4457,ASKED ABOUT FENUGREEK VARITIES ?,"VARIETIES OF FENUGREEK ?
METHI -1 RAJSTHAN METHI- 1 NO-47 PRABHA PUSA EARLY BUNCHING KASURI"
4461,Asking about weather forecast ?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-20 DEGREE AND MAX.- 35 NO POSSIBILITY OF RAINFALL.
4465,ASKING ABOUT CONTACT NUMBER OF SOIL TESTING LAB?,"ABOUT CONTACT NUMBER OF SOIL TESTING LAB KVK BULDHANA  Krishi Vigyan Kendra Jalgoan, Jamod, BULDANA { MS } Jamod,
 Phone: 07266 - 221620"
4472,ATTACK OF LEAF EATING CATERPILLAR on pigeonpea?,LEAF EATING CATERPILLAR on pigeonpea-Spray Chloropyriphos 30 ml+Actra 5 gm/15 Lit of Water.
4474,FRUIT DROP ON CHILLI ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
4482,asking about blight on termeric?,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL
4484,Asking about weather forecast ?,Weather Forecast - In the coming weeks there will be partly cloudy weather and the probability of rainfall in some places - at 23 degrees Celsius and maximum 37 degree Celsius
4486,Attack of White Fly ON COTTON ?,Spray Ullala 8 gm/15 Lit of Water. (Flonicamid 50% WG) UPL
4487,Asking about weather forecast ?,"THIS WEEK Cloudy Weather , LIGHT TO MEDIUM no Rainfall Chances."
4494,Flower Drop in cotton ?,Flower Drop in cotton - Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
4498,ASKING ABOUT SPRAY FOR CONTROLLING FLOWER DROP ?,Spray Plano fix 3 ml/15 Lit of Water.(NAA) BAYER
4514,Flowering ?,Spray boom flower 20 ml (nitrobenzene 20%)/15 lit of water-DEVICROP AGRO SCI.COMP.
4525,ATTACK OF SUCKING PEST ON COTTON?,"Spray Actra 5 gm(Thiomithoxom 25%)-Syngenta
+ Bavistine 30gm/15lit of Water. (Carbendazim 50% WP ) BASF"
4527,ASKED ABOUT CATERPILLER EGGS IN TUR ?,CATERPILLER EGGS IN TUR - Spray Quinolphos 30 ml / 15 liter water
4537,Asking about weather forecast ?,"As per the information received from the Indian Meteorological Department, there is no possibility of rainfall in the district for the next five days. The temperature is 34  degrees maximum"
4539,Asking about weather forecast?,This week weather is CLEAR and   NO Possibility of Rainfall.
4540,ASKED ABOUT MARKET RATE OF,MARKET RATE OF -2975 RS/QUINT
4554,Asking about weather forecast?,This week weather is partly CLOUDY and   Possibility of Rainfall
4556,Asking About Market Rate?,Market Rate JALNA-  2800 - 3025 rupees/qt.
4558,Asking about weather forecast?,"THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-16 DEGREE AND MAX.- 29 
NO RAINFALL CHANCES ."
4564,FARMER ASKED ABOUT MARKET RATE OF SOYABEAN ?,MARKET RATE OF SOYABEAN - 2900RS/QTL
4570,HARABHARA LAGAWAD?,"Time of planting of grams of grams
Sowing should be done in the soil with enough moisture in the soil, ie September to September or till 1o. After the sowing of grapes, the late monsoon fall in the beginning of September or early October is good for the germination and growth of the germ. Seed should be sown in deep (10 cm) area in the cumin area. Due to the convenience of irrigating the area, water should be sown from October 20 to November 10. Also, if the sowing is done on less room (5 cm) of graphene in the horticultural area. If the sowing is delayed, the low temperature is very low and germination is delayed and reduced. Crop reduces crop growth, loss of flowers and losses. For this, it is necessary to make sure that sowing is done on time and for the cultivation of gardens. The difference between the two line spacing is 3o cm. And the difference between two plants is 10 cm Sowing should be done in such a manner, so that the number of seedlings per acre is obtained."
